,d,Method,P_value,GT,Time
0,5,DINE_CIT,0.69,True,2.5353002548217773
1,5,DINE_CIT,0.79,True,2.150962829589844
2,5,DINE_CIT,0.67,True,4.4658119678497314
3,5,DINE_CIT,0.09,True,2.422086000442505
4,5,DINE_CIT,0.89,True,2.583209991455078
5,5,DINE_CIT,0.73,True,4.762269973754883
6,5,DINE_CIT,0.43,True,2.8532040119171143
7,5,DINE_CIT,0.28,True,3.017472982406616
8,5,DINE_CIT,0.53,True,5.272265195846558
9,5,DINE_CIT,0.26,True,4.230433702468872
10,5,DINE_CIT,0.57,True,1.5266921520233154
11,5,DINE_CIT,0.74,True,2.372999906539917
12,5,DINE_CIT,0.16,True,2.871026992797852
13,5,DINE_CIT,0.14,True,3.1172990798950195
14,5,DINE_CIT,0.1,True,4.412676095962524
15,5,DINE_CIT,0.54,True,3.159921169281006
16,5,DINE_CIT,0.75,True,4.09283709526062
17,5,DINE_CIT,0.8,True,2.9987051486968994
18,5,DINE_CIT,0.15,True,3.628430843353272
19,5,DINE_CIT,0.79,True,2.8206748962402344
20,5,DINE_CIT,0.09,True,3.939575910568237
21,5,DINE_CIT,0.61,True,2.50231671333313
22,5,DINE_CIT,0.4,True,5.033663988113403
23,5,DINE_CIT,0.19,True,2.809593915939331
24,5,DINE_CIT,0.56,True,2.940777063369751
25,5,DINE_CIT,0.21,True,2.582434892654419
26,5,DINE_CIT,0.52,True,2.0151619911193848
27,5,DINE_CIT,0.75,True,2.138393878936768
28,5,DINE_CIT,0.44,True,2.6181349754333496
29,5,DINE_CIT,0.77,True,3.127072095870972
30,5,DINE_CIT,0.81,True,9.101980924606323
31,5,DINE_CIT,0.91,True,3.4314498901367188
32,5,DINE_CIT,0.04,True,6.51489782333374
33,5,DINE_CIT,0.01,True,3.598376989364624
34,5,DINE_CIT,0.37,True,2.164384126663208
35,5,DINE_CIT,0.89,True,2.7898800373077397
36,5,DINE_CIT,0.64,True,3.8377881050109854
37,5,DINE_CIT,0.67,True,3.813232898712158
38,5,DINE_CIT,0.09,True,3.648559093475342
39,5,DINE_CIT,0.53,True,2.939170837402344
40,5,DINE_CIT,0.23,True,3.10097885131836
41,5,DINE_CIT,0.34,True,3.596224069595337
42,5,DINE_CIT,0.92,True,3.4269959926605225
43,5,DINE_CIT,0.45,True,8.784671783447266
44,5,DINE_CIT,0.04,True,4.325044393539429
45,5,DINE_CIT,0.2,True,5.145916938781738
46,5,DINE_CIT,0.94,True,3.642410039901733
47,5,DINE_CIT,0.55,True,2.829545021057129
48,5,DINE_CIT,0.49,True,5.330506801605225
49,5,DINE_CIT,0.39,True,6.954698801040649
50,5,DINE_CIT,0.17,True,2.868580102920532
51,5,DINE_CIT,0.26,True,2.4060328006744385
52,5,DINE_CIT,0.66,True,2.1412148475646973
53,5,DINE_CIT,0.04,True,3.019930124282837
54,5,DINE_CIT,0.92,True,8.518518924713135
55,5,DINE_CIT,0.37,True,5.723130941390991
56,5,DINE_CIT,0.59,True,9.148859024047852
57,5,DINE_CIT,0.63,True,1.60915207862854
58,5,DINE_CIT,0.2,True,5.538759231567383
59,5,DINE_CIT,0.18,True,3.2526779174804688
60,5,DINE_CIT,0.18,True,4.181326866149902
61,5,DINE_CIT,0.49,True,2.7565698623657227
62,5,DINE_CIT,0.37,True,6.441789865493774
63,5,DINE_CIT,0.31,True,5.008543968200684
64,5,DINE_CIT,0.77,True,13.222169160842896
65,5,DINE_CIT,0.39,True,8.3164541721344
66,5,DINE_CIT,0.75,True,3.012299060821533
67,5,DINE_CIT,0.64,True,4.555187225341797
68,5,DINE_CIT,0.02,True,1.741535186767578
69,5,DINE_CIT,0.08,True,3.102489948272705
70,5,DINE_CIT,0.0,True,4.661394119262695
71,5,DINE_CIT,0.9,True,4.384136915206909
72,5,DINE_CIT,0.83,True,9.206429958343506
73,5,DINE_CIT,0.63,True,2.82520604133606
74,5,DINE_CIT,0.54,True,3.79458212852478
75,5,DINE_CIT,0.32,True,2.6346821784973145
76,5,DINE_CIT,0.54,True,8.235098123550415
77,5,DINE_CIT,0.1,True,6.197083234786987
78,5,DINE_CIT,0.8,True,3.035501718521118
79,5,DINE_CIT,0.12,True,9.696053981781006
80,5,DINE_CIT,0.05,True,2.4852781295776367
81,5,DINE_CIT,0.2,True,7.405229091644287
82,5,DINE_CIT,0.36,True,3.191336154937744
83,5,DINE_CIT,0.6,True,3.10817813873291
84,5,DINE_CIT,0.0,False,2.8087480068206787
85,5,DINE_CIT,0.0,False,2.836874961853028
86,5,DINE_CIT,0.0,False,1.998378038406372
87,5,DINE_CIT,0.0,False,2.9175589084625244
88,5,DINE_CIT,0.23,True,3.5842437744140625
89,5,DINE_CIT,0.27,True,3.2353949546813965
90,5,DINE_CIT,0.7,True,2.5571420192718506
91,5,DINE_CIT,0.56,True,3.976818799972534
92,5,DINE_CIT,0.92,True,8.841434240341187
93,5,DINE_CIT,0.4,True,2.286529064178467
94,5,DINE_CIT,0.92,True,3.358793973922729
95,5,DINE_CIT,0.19,True,3.2876760959625244
96,5,DINE_CIT,0.0,False,1.8346529006958008
97,5,DINE_CIT,0.0,False,2.623203754425049
98,5,DINE_CIT,0.0,False,3.3771209716796875
99,5,DINE_CIT,0.0,False,1.8895981311798096
100,5,DINE_CIT,0.0,False,7.749768972396851
101,5,DINE_CIT,0.0,False,3.7913200855255127
102,5,DINE_CIT,0.0,False,6.117526054382324
103,5,DINE_CIT,0.0,False,4.061077117919922
104,5,DINE_CIT,0.0,False,3.498290777206421
105,5,DINE_CIT,0.0,False,2.7370450496673584
106,5,DINE_CIT,0.0,False,2.529314994812012
107,5,DINE_CIT,0.0,False,3.4845571517944336
108,5,DINE_CIT,0.0,False,4.031814813613892
109,5,DINE_CIT,0.0,False,2.457460165023804
110,5,DINE_CIT,0.0,False,5.171090126037598
111,5,DINE_CIT,0.0,False,1.9652328491210935
112,5,DINE_CIT,0.15,True,2.7243247032165527
113,5,DINE_CIT,0.69,True,4.149283170700073
114,5,DINE_CIT,0.26,True,5.9916839599609375
115,5,DINE_CIT,0.57,True,2.38498592376709
116,5,DINE_CIT,0.51,True,1.998049020767212
117,5,DINE_CIT,0.63,True,5.354413032531738
118,5,DINE_CIT,0.12,True,9.552932262420654
119,5,DINE_CIT,0.71,True,8.538174867630005
120,5,DINE_CIT,0.0,False,2.091192960739136
121,5,DINE_CIT,0.0,False,7.698884725570679
122,5,DINE_CIT,0.0,False,2.622404098510742
123,5,DINE_CIT,0.0,False,2.608705759048462
124,5,DINE_CIT,0.0,False,7.569401979446411
125,5,DINE_CIT,0.0,False,1.833479881286621
126,5,DINE_CIT,0.0,False,3.6400492191314697
127,5,DINE_CIT,0.0,False,3.170882225036621
128,5,DINE_CIT,0.0,False,2.757142782211304
129,5,DINE_CIT,0.0,False,2.974592685699463
130,5,DINE_CIT,0.0,False,2.39813494682312
131,5,DINE_CIT,0.0,False,3.1848459243774414
132,5,DINE_CIT,0.0,False,2.799759149551392
133,5,DINE_CIT,0.0,False,4.04150390625
134,5,DINE_CIT,0.0,False,4.486028671264648
135,5,DINE_CIT,0.0,False,2.862623929977417
136,5,DINE_CIT,0.0,False,3.240971088409424
137,5,DINE_CIT,0.0,False,4.257991790771484
138,5,DINE_CIT,0.0,False,7.246524095535278
139,5,DINE_CIT,0.0,False,4.748806953430176
140,5,DINE_CIT,0.0,False,3.2536821365356445
141,5,DINE_CIT,0.0,False,10.410265684127808
142,5,DINE_CIT,0.0,False,2.214751005172729
143,5,DINE_CIT,0.0,False,6.619752883911133
144,5,DINE_CIT,0.0,False,5.8709557056427
145,5,DINE_CIT,0.0,False,3.374776124954224
146,5,DINE_CIT,0.0,False,4.182888984680176
147,5,DINE_CIT,0.0,False,2.9727330207824707
148,5,DINE_CIT,0.0,False,9.032011985778809
149,5,DINE_CIT,0.0,False,3.935123920440674
150,5,DINE_CIT,0.0,False,2.855009794235229
151,5,DINE_CIT,0.0,False,2.28240704536438
152,5,DINE_CIT,0.0,False,2.546405792236328
153,5,DINE_CIT,0.0,False,4.881750106811523
154,5,DINE_CIT,0.0,False,7.217648029327393
155,5,DINE_CIT,0.0,False,4.343430757522583
156,5,DINE_CIT,0.0,False,5.582908868789673
157,5,DINE_CIT,0.0,False,2.850787878036499
158,5,DINE_CIT,0.0,False,1.8378996849060056
159,5,DINE_CIT,0.0,False,2.5382320880889893
160,5,DINE_CIT,0.0,False,2.513582944869995
161,5,DINE_CIT,0.0,False,2.445225954055786
162,5,DINE_CIT,0.0,False,3.763833284378052
163,5,DINE_CIT,0.0,False,2.1263370513916016
164,5,DINE_CIT,0.0,False,2.4065511226654053
165,5,DINE_CIT,0.0,False,3.721750020980835
166,5,DINE_CIT,0.0,False,2.791555881500244
167,5,DINE_CIT,0.0,False,3.4516170024871826
168,5,DINE_CIT,0.0,False,4.014391183853149
169,5,DINE_CIT,0.0,False,2.491345167160034
170,5,DINE_CIT,0.0,False,2.933717727661133
171,5,DINE_CIT,0.0,False,2.5620269775390625
172,5,DINE_CIT,0.0,False,3.6189780235290527
173,5,DINE_CIT,0.0,False,3.0235891342163086
174,5,DINE_CIT,0.0,False,4.034399032592773
175,5,DINE_CIT,0.0,False,2.5752499103546143
176,5,DINE_CIT,0.0,False,5.205554962158203
177,5,DINE_CIT,0.0,False,2.7489569187164307
178,5,DINE_CIT,0.0,False,8.182910919189453
179,5,DINE_CIT,0.0,False,3.703057765960693
180,5,DINE_CIT,0.0,False,4.275548934936523
181,5,DINE_CIT,0.0,False,2.0765769481658936
182,5,DINE_CIT,0.0,False,3.399362802505493
183,5,DINE_CIT,0.0,False,3.5140388011932373
184,5,DINE_CIT,0.0,False,4.059999942779541
185,5,DINE_CIT,0.0,False,2.498043775558472
186,5,DINE_CIT,0.0,False,2.194464921951294
187,5,DINE_CIT,0.0,False,3.192451000213623
188,5,DINE_CIT,0.0,False,3.069934844970703
189,5,DINE_CIT,0.0,False,2.9499380588531494
190,5,DINE_CIT,0.0,False,2.59326696395874
191,5,DINE_CIT,0.0,False,4.023866891860962
192,8,DINE_CIT,0.63,True,3.5570709705352783
193,8,DINE_CIT,0.36,True,3.2008190155029297
194,8,DINE_CIT,0.61,True,1.7649998664855957
195,8,DINE_CIT,0.92,True,3.336207151412964
196,8,DINE_CIT,0.16,True,1.4875421524047852
197,8,DINE_CIT,0.11,True,4.317698240280151
198,8,DINE_CIT,0.35,True,3.494158744812012
199,8,DINE_CIT,0.34,True,3.720247268676758
200,5,DINE_CIT,0.0,False,3.0370352268218994
201,5,DINE_CIT,0.0,False,10.836619853973389
202,5,DINE_CIT,0.0,False,1.9965050220489504
203,5,DINE_CIT,0.0,False,2.278353214263916
204,5,DINE_CIT,0.0,False,2.0706541538238525
205,5,DINE_CIT,0.0,False,2.722642183303833
206,5,DINE_CIT,0.0,False,3.68527102470398
207,5,DINE_CIT,0.0,False,3.0119950771331787
208,8,DINE_CIT,0.82,True,4.559566020965576
209,8,DINE_CIT,0.92,True,3.3316850662231445
210,8,DINE_CIT,0.2,True,2.9031548500061035
211,8,DINE_CIT,0.72,True,3.130091905593872
212,8,DINE_CIT,0.14,True,2.642784118652344
213,8,DINE_CIT,0.86,True,3.154457092285156
214,8,DINE_CIT,0.61,True,3.693474054336548
215,8,DINE_CIT,0.2,True,4.383681058883667
216,8,DINE_CIT,0.38,True,3.158409118652344
217,8,DINE_CIT,0.43,True,10.344354152679443
218,8,DINE_CIT,0.17,True,5.9601709842681885
219,8,DINE_CIT,0.13,True,1.946666955947876
220,8,DINE_CIT,0.66,True,3.223034143447876
221,8,DINE_CIT,0.01,True,2.571727752685547
222,8,DINE_CIT,0.8,True,4.764666795730591
223,8,DINE_CIT,0.25,True,4.921233892440796
224,8,DINE_CIT,0.34,True,2.987475872039795
225,8,DINE_CIT,0.16,True,7.088263034820557
226,8,DINE_CIT,0.94,True,2.1769139766693115
227,8,DINE_CIT,0.65,True,8.353557825088501
228,8,DINE_CIT,0.12,True,10.756535768508911
229,8,DINE_CIT,0.24,True,5.633050918579102
230,8,DINE_CIT,0.95,True,2.648660898208618
231,8,DINE_CIT,0.45,True,2.3648080825805664
